Trenton,Todd,85,92,90,89.0,B
Karl,Larson,78,82,90,83.33333333333333,B
Flossie,Ashley,60,55,73,62.666666666666664,D
Santos,Beard,89,90,91,90.0,A
Megan,Shelton,100,98,97,98.33333333333333,A
Gail,Simmons,85,84,89,86.0,B
Erich,Blake,90,86,80,85.33333333333333,B
Eli,Jones,92,90,87,89.66666666666667,B
Cecile,Wheeler,70,80,90,80.0,B
Reva,Weber,77,88,99,88.0,B
Antione,Arnold,90,90,90,90.0,A
Isabel,Gibbs,58,62,75,65.0,D
Lowell,Oliver,92,93,90,91.66666666666667,A
Paulette,Greene,73,78,82,77.66666666666667,C
Lon,Cline,60,70,85,71.66666666666667,C
Yesenia,Carter,90,89,91,90.0,A
Neal,Mcintyre,72,78,84,78.0,C
Marquis,Poole,80,90,100,90.0,A
Alfonso,Mercado,80,82,81,81.0,B
Elvia,Leon,90,80,70,80.0,B
